Single Year of Age,Administrative Counties,VALUE
0,Ireland,57796
0,Carlow County Council,699
0,Dublin City Council,6213
0,Dún Laoghaire Rathdown County Council,2457
0,Fingal County Council,4009
0,South Dublin County Council,3544
0,Kildare County Council,3005
0,Kilkenny County Council,1123
0,Laois County Council,1100
0,Longford County Council,527
0,Louth County Council,1700
0,Meath County Council,2774
0,Offaly County Council,935
0,Westmeath County Council,1129
0,Wexford County Council,1792
0,Wicklow County Council,1710
0,Clare County Council,1377
0,Cork City Council,2283
0,Cork County Council,4190
0,Kerry County Council,1665
0,Limerick City & County Council,2165
0,Tipperary County Council,1932
0,Waterford City & County Council,1340
0,Galway City Council,792
0,Galway County Council,2249
0,Leitrim County Council,404
0,Mayo  County Council,1520
0,Roscommon County Council,748
0,Sligo County Council,743
0,Cavan County Council,1006
0,Donegal County Council,1797
0,Monaghan County Council,868
0,Ireland,29610
0,Carlow County Council,346
0,Dublin City Council,3188
0,Dún Laoghaire Rathdown County Council,1269
0,Fingal County Council,2059
0,South Dublin County Council,1855
0,Kildare County Council,1550
0,Kilkenny County Council,570
0,Laois County Council,555
0,Longford County Council,257
0,Louth County Council,852
0,Meath County Council,1406
0,Offaly County Council,481
0,Westmeath County Council,594
0,Wexford County Council,910
0,Wicklow County Council,910
0,Clare County Council,686
0,Cork City Council,1159
0,Cork County Council,2135
0,Kerry County Council,822
0,Limerick City & County Council,1116
0,Tipperary County Council,1017
0,Waterford City & County Council,678
0,Galway City Council,405
0,Galway County Council,1176
0,Leitrim County Council,200
0,Mayo  County Council,790
0,Roscommon County Council,382
0,Sligo County Council,376
0,Cavan County Council,505
0,Donegal County Council,916
0,Monaghan County Council,445
0,Ireland,28186
0,Carlow County Council,353
0,Dublin City Council,3025
0,Dún Laoghaire Rathdown County Council,1188
0,Fingal County Council,1950
0,South Dublin County Council,1689
0,Kildare County Council,1455
0,Kilkenny County Council,553
0,Laois County Council,545
0,Longford County Council,270
0,Louth County Council,848
0,Meath County Council,1368
0,Offaly County Council,454
0,Westmeath County Council,535
0,Wexford County Council,882
0,Wicklow County Council,800
0,Clare County Council,691
0,Cork City Council,1124
0,Cork County Council,2055
0,Kerry County Council,843
0,Limerick City & County Council,1049
0,Tipperary County Council,915
0,Waterford City & County Council,662
0,Galway City Council,387
0,Galway County Council,1073
0,Leitrim County Council,204
0,Mayo  County Council,730
0,Roscommon County Council,366
0,Sligo County Council,367
0,Cavan County Council,501
0,Donegal County Council,881
0,Monaghan County Council,423
