Latitude (decimal degrees):	53.999
Longitude (decimal degrees):	-6.197
Elevation (m):	39
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,5.51,2.55,0.0
20230101:0111,0.0,0.0,5.14,2.62,0.0
20230101:0211,0.0,0.0,4.88,2.76,0.0
20230101:0311,0.0,0.0,4.83,2.76,0.0
20230101:0411,0.0,0.0,4.69,2.28,0.0
20230101:0511,0.0,0.0,4.76,2.21,0.0
20230101:0611,0.0,0.0,5.01,2.48,0.0
20230101:0711,0.0,0.0,4.94,2.76,0.0
20230101:0811,0.0,0.0,5.0,2.83,0.0
20230101:0911,0.93,2.11,4.84,2.41,0.0
20230101:1011,137.79,7.52,5.06,1.59,0.0
20230101:1111,104.37,11.22,5.34,1.86,0.0
20230101:1211,98.92,12.9,5.62,2.21,0.0
20230101:1311,48.21,12.44,5.68,2.0,0.0
20230101:1411,52.73,9.86,5.78,2.07,0.0
20230101:1511,39.96,5.38,5.72,2.41,0.0
20230101:1611,0.0,0.0,5.35,2.07,0.0
20230101:1711,0.0,0.0,4.92,2.48,0.0
20230101:1811,0.0,0.0,4.81,2.48,0.0
20230101:1911,0.0,0.0,4.79,2.41,0.0
20230101:2011,0.0,0.0,4.49,2.34,0.0
20230101:2111,0.0,0.0,4.04,2.34,0.0
20230101:2211,0.0,0.0,3.41,2.83,0.0
20230101:2311,0.0,0.0,3.56,2.83,0.0
20230102:0011,0.0,0.0,3.72,3.03,0.0
20230102:0111,0.0,0.0,3.49,3.38,0.0
20230102:0211,0.0,0.0,3.27,3.38,0.0
20230102:0311,0.0,0.0,2.67,3.31,0.0
20230102:0411,0.0,0.0,2.66,2.9,0.0
20230102:0511,0.0,0.0,2.23,2.41,0.0
20230102:0611,0.0,0.0,1.72,2.28,0.0
20230102:0711,0.0,0.0,1.26,2.34,0.0
20230102:0811,0.0,0.0,0.9,2.55,0.0
20230102:0911,3.71,2.14,0.43,2.55,0.0
20230102:1011,64.39,7.57,1.16,2.62,0.0
20230102:1111,56.99,11.28,2.0,2.69,0.0
20230102:1211,57.48,12.98,2.65,2.83,0.0
20230102:1311,65.13,12.53,3.49,2.83,0.0
20230102:1411,42.65,9.97,3.9,3.17,0.0
20230102:1511,77.45,5.5,3.77,2.48,0.0
20230102:1611,0.0,0.0,2.75,2.34,0.0
20230102:1711,0.0,0.0,2.13,2.9,0.0
20230102:1811,0.0,0.0,2.06,3.38,0.0
20230102:1911,0.0,0.0,2.14,3.79,0.0
20230102:2011,0.0,0.0,2.21,4.28,0.0
20230102:2111,0.0,0.0,2.41,4.55,0.0
20230102:2211,0.0,0.0,3.68,5.66,0.0
20230102:2311,0.0,0.0,4.79,6.34,0.0
20230103:0011,0.0,0.0,5.66,6.76,0.0
20230103:0111,0.0,0.0,6.7,7.86,0.0
20230103:0211,0.0,0.0,7.39,8.62,0.0
20230103:0311,0.0,0.0,7.83,9.1,0.0
20230103:0411,0.0,0.0,8.27,9.1,0.0
20230103:0511,0.0,0.0,8.58,7.72,0.0
20230103:0611,0.0,0.0,8.7,6.76,0.0
20230103:0711,0.0,0.0,8.67,5.86,0.0
20230103:0811,0.0,0.0,8.55,5.24,0.0
20230103:0911,2.78,2.18,8.52,4.9,0.0
20230103:1011,70.63,7.62,8.64,5.86,0.0
20230103:1111,23.18,11.35,8.79,5.86,0.0
20230103:1211,40.79,13.07,9.29,6.48,0.0
20230103:1311,31.52,12.64,9.84,6.9,0.0
20230103:1411,103.57,10.08,10.43,6.48,0.0
20230103:1511,20.4,5.62,11.65,6.28,0.0
20230103:1611,0.0,0.0,12.24,6.48,0.0
20230103:1711,0.0,0.0,12.06,6.69,0.0
20230103:1811,0.0,0.0,11.97,6.14,0.0
20230103:1911,0.0,0.0,11.84,6.14,0.0
20230103:2011,0.0,0.0,11.74,7.03,0.0
20230103:2111,0.0,0.0,12.11,8.14,0.0
20230103:2211,0.0,0.0,12.5,9.93,0.0
20230103:2311,0.0,0.0,12.24,9.59,0.0
20230104:0011,0.0,0.0,11.87,8.14,0.0
20230104:0111,0.0,0.0,11.57,7.66,0.0
20230104:0211,0.0,0.0,11.19,8.0,0.0
20230104:0311,0.0,0.0,10.74,8.41,0.0
20230104:0411,0.0,0.0,10.55,8.48,0.0
20230104:0511,0.0,0.0,10.42,8.41,0.0
20230104:0611,0.0,0.0,10.37,8.41,0.0
20230104:0711,0.0,0.0,10.48,8.55,0.0
20230104:0811,0.0,0.0,10.23,8.69,0.0
20230104:0911,9.27,2.22,10.07,8.76,0.0
20230104:1011,331.47,7.68,9.95,8.0,0.0
20230104:1111,178.03,11.43,10.39,7.86,0.0
20230104:1211,125.27,13.17,10.67,8.07,0.0
20230104:1311,154.82,12.75,10.96,8.14,0.0
20230104:1411,223.5,10.21,10.99,7.93,0.0
20230104:1511,22.25,5.76,10.77,7.86,0.0
20230104:1611,0.0,0.0,10.54,7.45,0.0
20230104:1711,0.0,0.0,10.17,7.1,0.0
20230104:1811,0.0,0.0,10.12,7.03,0.0
20230104:1911,0.0,0.0,9.67,6.83,0.0
20230104:2011,0.0,0.0,9.49,6.41,0.0
20230104:2111,0.0,0.0,9.59,6.21,0.0
20230104:2211,0.0,0.0,9.25,5.66,0.0
20230104:2311,0.0,0.0,9.4,5.52,0.0
20230105:0011,0.0,0.0,9.41,4.97,0.0
20230105:0111,0.0,0.0,9.26,4.69,0.0
20230105:0211,0.0,0.0,8.99,4.34,0.0
20230105:0311,0.0,0.0,8.83,3.86,0.0
20230105:0411,0.0,0.0,8.74,3.52,0.0
20230105:0511,0.0,0.0,8.62,3.66,0.0
20230105:0611,0.0,0.0,8.66,3.72,0.0
20230105:0711,0.0,0.0,9.02,4.07,0.0
20230105:0811,0.0,0.0,9.4,4.83,0.0
20230105:0911,4.64,2.28,9.73,5.31,0.0
20230105:1011,71.12,7.75,10.41,6.14,0.0
20230105:1111,94.93,11.52,10.78,6.76,0.0
20230105:1211,90.62,13.27,11.31,7.1,0.0
20230105:1311,58.41,12.87,11.61,7.24,0.0
20230105:1411,32.45,10.34,11.72,7.86,0.0
20230105:1511,17.62,5.89,11.9,7.86,0.0
20230105:1611,0.0,0.0,11.57,7.52,0.0
20230105:1711,0.0,0.0,10.11,7.45,0.0
20230105:1811,0.0,0.0,9.05,7.45,0.0
20230105:1911,0.0,0.0,8.59,7.45,0.0
20230105:2011,0.0,0.0,8.26,7.45,0.0
20230105:2111,0.0,0.0,7.83,7.66,0.0
20230105:2211,0.0,0.0,7.37,8.48,0.0
20230105:2311,0.0,0.0,7.33,8.14,0.0
20230106:0011,0.0,0.0,7.19,8.0,0.0
20230106:0111,0.0,0.0,7.0,7.93,0.0
20230106:0211,0.0,0.0,6.95,7.93,0.0
20230106:0311,0.0,0.0,7.03,8.14,0.0
20230106:0411,0.0,0.0,6.85,7.86,0.0
20230106:0511,0.0,0.0,6.69,7.31,0.0
20230106:0611,0.0,0.0,6.56,6.69,0.0
20230106:0711,0.0,0.0,6.44,5.79,0.0
20230106:0811,0.0,0.0,6.27,5.24,0.0
20230106:0911,20.64,2.34,6.23,4.83,0.0
20230106:1011,56.36,7.83,6.08,4.07,0.0
20230106:1111,83.42,11.61,6.6,4.07,0.0
20230106:1211,237.65,13.38,7.18,4.21,0.0
20230106:1311,166.96,12.99,8.05,4.34,0.0
20230106:1411,126.27,10.47,8.29,4.76,0.0
20230106:1511,85.64,6.04,8.45,5.17,0.0
20230106:1611,0.0,0.0,8.51,5.38,0.0
20230106:1711,0.0,0.0,8.73,5.86,0.0
20230106:1811,0.0,0.0,8.84,6.41,0.0
20230106:1911,0.0,0.0,9.3,6.83,0.0
20230106:2011,0.0,0.0,9.75,6.41,0.0
